Temperature (K) - T,Magnetic Field (Oe) - H ,M-DC (emu) - M
15.98930405,5000.1215,3.1947195731
15.9833159,7000.0775,3.5878079097
15.991014,9998.689,3.9542414643
15.99301335,15000.592,4.3559623286
15.9940543,19999.5575,4.6621428267
15.99898435,29998.909,5.1493200164
16.0004535,40001.008,5.5412197844
15.9997082,49999.414,5.8707462744
16.0021434,70001.0545,6.3984464771
15.9960146,90000.613,6.8187744122
18.96411895,0.0855,-0.1247103674
18.9775257,500.086,0.8881237534
18.9836054,1000.0865,1.438580764
18.98666665,2000.0125,1.9967081416
18.98576355,2999.967,2.3489444995
18.99276255,5000.1405,2.8646299601
18.9853611,7000.2,3.2076533247
18.99446485,10000.3,3.5658522402
18.98450375,14999.4545,4.0049372042
18.99228285,19999.084,4.3492164061
18.9985819,30000.236,4.8959718933
18.9988165,39999.0195,5.3324693475
19.00395015,49998.656,5.6962278429
18.99258135,70000.109,6.2734482304
18.99845695,90000.422,6.7238129901
21.96125125,-0.038,-0.0625584507
21.9704971,499.9915,0.6730921565
21.98206325,1000.0585,1.0122884337
21.9859152,1999.984,1.4508178259
21.9902735,3000.052,1.7585248971
21.99079705,5000.1875,2.220300145
21.9875269,7000.0955,2.5675622
21.98752595,9999.2575,2.9736370809
21.97974875,15000.592,3.4962896698
21.99027155,19999.747,3.9049246001
22.00115395,29999.8575,4.5460108168
21.9957056,39999.209,5.0441117135
21.99749275,49999.699,5.4518957096
21.989357,70000.3945,6.0960273202
22.0040989,89999.8555,6.5841892061
24.9579487,-0.0475,-0.0069135568
24.9620733,500.086,0.1701914617
24.9652586,999.888,0.3449843728
24.98142625,1999.9745,0.6685505401
24.9873438,3000.099,0.9552302136
24.98673055,5000.008,1.432300165
24.98979475,7000.2,1.8201797835
24.9906292,9999.7315,2.2916506411
24.98469735,14999.834,2.901182552
24.996233,20000.2205,3.3815517284
24.98065375,29999.7625,4.1276168265
24.9906101,40000.4395,4.6971370182
24.9956427,49999.414,5.1608030031
24.99116615,70000.4885,5.8823690153
25.00361535,90001.277,6.4216099693
27.94648175,0.142,-0.0038021504
27.9771967,499.972,0.0950620215
27.9882479,1000.153,0.1943114528
27.98992155,2000.2585,0.3925569565
27.98806665,3000.1085,0.586653117
28.0015335,5000.1495,0.9498256115
27.99849795,7000.115,1.2824297587
27.99711895,9999.447,1.7270672372
27.97946455,14998.886,2.3521206504
27.986619,19998.8945,2.8637616299
27.99634745,29999.1945,3.6750499635
27.99853895,40000.346,4.3090574499
27.9977846,49999.9825,4.8258448966
28.0039988,69999.727,5.6249088986
28.00239945,90000.5195,6.2246850706
30.9472399,-0.114,-0.0027332675
30.96516225,500.0005,0.0680461684
30.9746084,1000.0775,0.1391223809
30.9896212,2000.1925,0.2812579839
31.00803755,3000.014,0.4227987836
31.00671675,5000.14,0.6996160617
30.98017885,7000.1245,0.9686307313
30.99645045,9998.7835,1.3469259498
30.99668885,14999.36,1.9137247583
30.99500085,19999.2735,2.4122980987
31.00308415,29999.1945,3.2441774948
30.9991703,39999.871,3.9147815866
30.9977598,49999.129,4.4695701852
31.0035839,70000.3945,5.3419050309
31.0052118,89999.473,5.9963779203
33.9528656,0.076,-0.0021191309
33.97086715,500.105,0.0536814848
33.98981095,1000.068,0.1094858119
33.99388505,2000.202,0.221740394
34.0052967,3000.1845,0.3336972949
33.978981,5000.017,0.5567286564
33.9861622,7000.0675,0.7753371696
33.99728395,9999.542,1.0928518438
33.9772472,14999.265,1.5958215432
33.99024965,19999.652,2.0565259859
33.9775162,30000.426,2.8655448779
33.9949627,40000.3455,3.5414212879
34.0024662,50000.2675,4.1187130446
34.00445365,70001.242,5.0436717233
34.0044956,90000.1405,5.7579655475
38.9805298,0,-0.0016029811
38.9934921,500.0765,0.0403446949
